id	image_type	year	title	image	description
3259	jpg	2022	Apki sewa hum nahin bhulenge...	https://amul.com/files/hits/amul-hits-3259.jpg	Tribute to revered Gandhian, 'the gentle revolutionary'! - (Nov'22).
3258	jpg	2022	Hum tum ek camera mein bandh ho!	https://amul.com/files/hits/amul-hits-3258.jpg	Virat Kohli's hotel room filmed! - (Nov'22).
3257	jpg	2022	Free speech is a musk!	https://amul.com/files/hits/amul-hits-3257.jpg	Tesla CEO takes control of Twitter! - (Oct'22).
3256	jpg	2022	Equal pay for equal play!	https://amul.com/files/hits/amul-hits-3256.jpg	BCCI announces that men and women cricketers will get the same fees! - (Oct'22).
3253	jpg	2022	Tense downing street?	https://amul.com/files/hits/amul-hits-3253.jpg	Britain political scene rocked, UK left leaderless! - (Oct'22).
3254	jpg	2022	Top Kohlity innings!	https://amul.com/files/hits/amul-hits-3254.jpg	India win nail-biting WC2022 match on the back of Virat's knock! (Oct'22).
3255	jpg	2022	Rishi Sunuk!	https://amul.com/files/hits/amul-hits-3255.jpg	Welcoming Britain's first Indian origin PM! - (Oct'22).
3252	jpg	2022	Margdarshak, Milkrakshak	https://amul.com/files/hits/amul-hits-3252.jpg	Tribute to our founder Shri Tribhuvandas Patel on his 119th birth anniversary!- (Oct'22).
3251	jpg	2022	Ab ballon d'oor nahin hai!	https://amul.com/files/hits/amul-hits-3251.jpg	Karim Benzema wins prestigious football award, oldest winner since 1956! - (Oct'22).
3250	jpg	2022	Ek kaur victory!	https://amul.com/files/hits/amul-hits-3250.jpg	Team India wins Women's Asia Cup 2022! - (Oct'22).
3249	jpg	2022	Put Butter Binnyth slice!	https://amul.com/files/hits/amul-hits-3249.jpg	Roger Binny to assume BCCI Presidentship! - (Sep'22).
3248	jpg	2022	Bachchpan se aapke fan hai!	https://amul.com/files/hits/amul-hits-3248.jpg	Wishing the Big B a healthy and happy 80th birthday! - (Oct'22).
